POAM ID,Controls,Weakness Name,Weakness Description,Weakness Detector Source,Weakness Source Identifier,Asset Identifier,Point of Contact,Resources Required,Overall Remediation Plan,Original Detection Date,Scheduled Completion Date,Status Date,Vendor Dependency,Last Vendor Check-in Date,Vendor Dependent Product Name,Original Risk Rating,Adjusted Risk Rating,Risk Adjustment,False Positive,Operational Requirement,Deviation Rationale,Supporting Documents,Comments,Binding Operational Directive 22-01 tracking,Binding Operational Directive 22-01 Due Date,CVE,Framework Tags
EGP-C79D79795E,,ScoutSuite s3: Bucket readable by AllUsers,s3 Bucket readable by AllUsers,cloud-prowler,prowler:s3-bucket-allusers-read,demo-scout-public,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_S,csf_PR_AA_05,nist80053_AC-3,nist80053_AC-6,nist80053_SC-7"
EGP-9CD3850AD7,,IAM users should have MFA,User nomega has no MFA device,cloud-prowler,prowler:aws_iam_user_mfa,iam-user-nomega,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_F,csf_PR_AA_03,nist80053_IA-2,nist80053_IA-2(1)"
EGP-C0D7472C4D,,S3 Bucket has an ACL defined which allows public READ access.,CKV_AWS_20 S3 Bucket has an ACL defined which allows public READ access. resource=aws_s3_bucket.demo file=infra/terraform.tfvars (Checkov file-drop; not a live IaC scan),code-secrets,sast:CKV_AWS_20,infra/terraform.tfvars,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_S,csf_PR_AA_05,nist80053_AC-3,nist80053_AC-6,nist80053_SC-7"
EGP-974754C65F,,Generic API Key,Secret rule generic-api-key in services/payments/config.py:12 value=[REDACTED],code-secrets,name:generic api key,services/payments/config.py,,,,not recorded,,2026-09-26,No,,,High,,,,,,,Scanner rating Critical (col R maps Critical→High; template M has no Critical branch).,,,,"cpg_3_C,csf_PR_AA_01,nist80053_IA-5,nist80053_SI-4,cis_3_3"
EGP-D229DEE873,,Generic Secret,Secret rule generic-secret in deploy/.env.sample:3 value=[REDACTED],code-secrets,name:generic secret,deploy/.env.sample,,,,not recorded,,2026-09-26,No,,,High,,,,,,,Scanner rating Critical (col R maps Critical→High; template M has no Critical branch).,,,,"cpg_3_C,csf_PR_AA_01,nist80053_IA-5,nist80053_SI-4,cis_3_3"
EGP-6E2C561DC3,,Hardcoded credential assigned to variable,Hardcoded credential assigned to variable,code-secrets,sast:python.lang.security.audit.hardcoded-password,services/payments/config.py,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_C,csf_PR_AA_01,nist80053_IA-5,nist80053_SI-4,cis_3_3"
EGP-1B99193A54,,Possible SQL injection via string format,Possible SQL injection via string format,code-secrets,sarif:python.lang.security.audit.sql-injection,services/payments/query.py,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_2_B,csf_PR_PS_06,nist80053_SI-10,nist80053_SA-11"
EGP-D100D44047,,postcss line return parsing,Affected lockfile dependency.,code-secrets,cve:CVE-2023-44270,package-lock.json,,,,not recorded,,2026-09-26,No,,,Moderate,,,,,,,,,,CVE-2023-44270,"cpg_2_B,csf_PR_PS_02,nist80053_SI-2,nist80053_RA-5,cis_7_3,cis_7_4,cis_7_7"
EGP-05BE5CCE95,,semver regular expression DoS,ReDoS in npm semver.,code-secrets,cve:CVE-2022-25883,package-lock.json,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,CVE-2022-25883,"cpg_2_B,csf_PR_PS_02,nist80053_SI-2,nist80053_RA-5,cis_7_3,cis_7_4,cis_7_7"
EGP-7DADB23977,,TruffleHog AWS,AWS secret in infra/terraform.tfvars value=[REDACTED] verified=False,code-secrets,name:trufflehog aws,infra/terraform.tfvars,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_C,csf_PR_AA_01,nist80053_IA-5,nist80053_SI-4,cis_3_3"
EGP-6DB5A0E824,,TruffleHog Github,Github secret in scripts/deploy.sh value=[REDACTED] verified=True,code-secrets,name:trufflehog github,scripts/deploy.sh,,,,not recorded,,2026-09-26,No,,,High,,,,,,,Scanner rating Critical (col R maps Critical→High; template M has no Critical branch).,,,,"cpg_3_C,csf_PR_AA_01,nist80053_IA-5,nist80053_SI-4,cis_3_3"
EGP-F596DD6548,,Expired certificate on vpn.example.invalid,"vpn.example.invalid presents an expired certificate in a dropped PEM/crt.sh snapshot (Seen, not a live TLS probe). This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",dns-email,name:expired certificate on vpn.example.invalid,vpn.example.invalid (443/TCP),,,,not recorded,,2026-09-26,No,,,Moderate,,,,,,,,,,,"cpg_3_K,csf_PR_DS_02,nist80053_SC-8,nist80053_SC-8(1),nist80053_SC-13"
EGP-CC9E271DC8,,Expired certificate on mail.example.invalid,"mail.example.invalid presents an expired certificate in a dropped PEM/crt.sh snapshot (Seen, not a live TLS probe). This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",dns-email,name:expired certificate on mail.example.invalid,mail.example.invalid (443/TCP),,,,not recorded,,2026-09-26,No,,,Moderate,,,,,,,,,,,"cpg_3_K,csf_PR_DS_02,nist80053_SC-8,nist80053_SC-8(1),nist80053_SC-13"
EGP-34512E247F,,SPF softfail-only on mail.example.invalid,"mail.example.invalid publishes SPF ~all only. Control gap candidate, not a breach. This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",dns-email,name:spf softfail-only on mail.example.invalid,mail.example.invalid,,,,not recorded,,2026-09-26,No,,,Low,,,,,,,,,,,"cpg_3_L,csf_PR_DS_02,nist80053_SI-8,nist80053_SC-8,cis_9_5"
EGP-EC4AD5CE77,,DMARC missing on mail.example.invalid,"mail.example.invalid has no published _dmarc TXT policy. Control gap candidate. This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",dns-email,name:dmarc missing on mail.example.invalid,mail.example.invalid,,,,not recorded,,2026-09-26,No,,,Moderate,,,,,,,,,,,"cpg_3_L,csf_PR_DS_02,nist80053_SI-8,nist80053_SC-8,cis_9_5"
EGP-D16867182F,,DKIM selector selector1 missing on mail.example.invalid,"mail.example.invalid has no published DKIM TXT at selector1._domainkey. Control gap candidate. This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",dns-email,name:dkim selector selector1 missing on mail.example.invalid,mail.example.invalid,,,,not recorded,,2026-09-26,No,,,Moderate,,,,,,,,,,,"cpg_3_L,csf_PR_DS_02,nist80053_SI-8,nist80053_SC-8,cis_9_5"
EGP-2C655685FA,,SPF +all on corp.example.invalid,"corp.example.invalid publishes SPF +all (any sender passes). Control gap candidate. This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",dns-email,name:spf +all on corp.example.invalid,corp.example.invalid,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_L,csf_PR_DS_02,nist80053_SI-8,nist80053_SC-8,cis_9_5"
EGP-0CD6A1970C,,DMARC p=none on corp.example.invalid,"corp.example.invalid publishes DMARC p=none (monitor only). Control gap candidate. This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",dns-email,name:dmarc p=none on corp.example.invalid,corp.example.invalid,,,,not recorded,,2026-09-26,No,,,Low,,,,,,,,,,,"cpg_3_L,csf_PR_DS_02,nist80053_SI-8,nist80053_SC-8,cis_9_5"
EGP-AA31A918D4,,Sensitive external hostname vpn.example.com,vpn.example.com is exposed on the public perimeter.,easm,name:sensitive external hostname vpn.example.com,vpn.example.com,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_S,csf_PR_IR_01,nist80053_SC-7,cis_1_1"
EGP-B592609BBD,,Exposed admin interface path on admin.example.com,"admin.example.com exposes /admin (status=200). This is a dropped ffuf/gobuster finding, not a live HTTP probe.",easm,name:exposed admin interface path on admin.example.com,admin.example.com,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_S,csf_PR_IR_01,nist80053_AC-17,nist80053_SC-7"
EGP-45FF89D43E,,Sensitive external hostname admin.example.com,admin.example.com is exposed on the public perimeter.,easm,name:sensitive external hostname admin.example.com,admin.example.com,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_S,csf_PR_IR_01,nist80053_SC-7,cis_1_1"
EGP-A1F832484C,,Exposed admin interface on admin.example.com,"admin.example.com presents https://admin.example.com (title=Admin, pageType=[n/a]).",easm,name:exposed admin interface on admin.example.com,admin.example.com,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_S,csf_PR_IR_01,nist80053_AC-17,nist80053_SC-7"
EGP-420B2A1F5F,,Sensitive external hostname dev-api.example.com,dev-api.example.com is exposed on the public perimeter.,easm,name:sensitive external hostname dev-api.example.com,dev-api.example.com,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_S,csf_PR_IR_01,nist80053_SC-7,cis_1_1"
EGP-7288E1B0C0,,Sensitive external hostname staging.example.com,staging.example.com is exposed on the public perimeter.,easm,name:sensitive external hostname staging.example.com,staging.example.com,,,,not recorded,,2026-09-26,No,,,Moderate,,,,,,,,,,,"cpg_3_S,csf_PR_IR_01,nist80053_SC-7,cis_1_1"
EGP-E01D68E821,,TLS weak cipher: vpn.example.com,vpn.example.com presents a weak TLS cipher posture (not a specific CVE).,easm,name:tls weak cipher: vpn.example.com,vpn.example.com (443/TCP),,,,not recorded,,2026-09-26,No,,,Moderate,,,,,,,,,,,"cpg_3_K,csf_PR_DS_02,nist80053_SC-8,nist80053_SC-8(1),nist80053_SC-13"
EGP-F23B55BBEC,,WhatWeb admin interface on admin.example.com,"admin.example.com presents an admin/login interface (title=Admin Login). This is a dropped WhatWeb export, not a live HTTP probe.",easm,name:whatweb admin interface on admin.example.com,admin.example.com,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_S,csf_PR_IR_01,nist80053_AC-17,nist80053_SC-7"
EGP-5DB9CD24A3,,Deception-sensor stage-1 hit on ssh-canary-01,"This is deception-sensor evidence / an agent-behavior signal. A honeypot stage hit is not a full control failure and does not mean the network is compromised. session_id=sess-canary-001. stage=1. Observed command 'whoami' (agent-behavior signal, not proof of control).",honeypot,name:deception-sensor stage-1 hit on ssh-canary-01,ssh-canary-01,,,,not recorded,,2026-09-26,No,,,Low,,,,,,,,,,,"cpg_4_B,csf_DE_CM_01,nist80053_SI-4,nist80053_AU-2"
EGP-228FAB8BF2,,Deception-sensor stage-2 hit on ssh-canary-01,"This is deception-sensor evidence / an agent-behavior signal. A honeypot stage hit is not a full control failure and does not mean the network is compromised. session_id=sess-canary-001. stage=2. conceal_detected=true (sensor hid the next stage). level2_emitted=true (stage-2 decoy presented). Observed command 'cat /etc/passwd' (agent-behavior signal, not proof of control).",honeypot,name:deception-sensor stage-2 hit on ssh-canary-01,ssh-canary-01,,,,not recorded,,2026-09-26,No,,,Moderate,,,,,,,,,,,"cpg_4_B,csf_DE_CM_01,nist80053_SI-4,nist80053_AU-2"
EGP-4EA47017E9,,Deception-sensor session sess-canary-001 on ssh-canary-01,"This is deception-sensor evidence / an agent-behavior signal. A honeypot stage hit is not a full control failure and does not mean the network is compromised. session_id=sess-canary-001. stage=2. SAMPLE/DEMO — not a client estate. Agent touched the SSH canary, then issued whoami and a passwd read. Deception-sensor evidence only. Review the trap transcript as an agent-behavior signal.",honeypot,name:deception-sensor session sess-canary-001 on ssh-canary-01,ssh-canary-01,,,,not recorded,,2026-09-26,No,,,Moderate,,,,,,,,,,,"cpg_4_B,csf_DE_CM_01,nist80053_SI-4,nist80053_AU-2"
EGP-1957B81CEE,,Wazuh agent disconnected: db-01,Endpoint db-01 is disconnected; coverage gap.,host-wazuh,name:wazuh agent disconnected: db-01,db-01,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_4_B,csf_DE_CM_01,nist80053_SI-4,cis_13_2"
EGP-4F0F399DB2,,sshd: brute force trying to get access,sshd: brute force trying to get access,host-wazuh,name:sshd: brute force trying to get access,web-01,,,,not recorded,,2026-09-26,No,,,Moderate,,,,,,,,,,,"cpg_3_E,csf_PR_AA_03,nist80053_SI-4,nist80053_AC-17,nist80053_SC-7"
EGP-089D0D23BF,,CIS-CAT 5.2.10: Ensure SSH PermitRootLogin is no,Ensure SSH PermitRootLogin is no,host-wazuh,wazuh:5.2.10,jump-unmanaged,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_H,csf_PR_AA_05,nist80053_IA-2,nist80053_AC-6"
EGP-CC9B81FC14,,Wazuh agent disconnected: fleet-laptop-07,Endpoint fleet-laptop-07 is disconnected; coverage gap.,host-wazuh,name:wazuh agent disconnected: fleet-laptop-07,fleet-laptop-07,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_4_B,csf_DE_CM_01,nist80053_SI-4,cis_13_2"
EGP-AF110EE4A0,,Lynis FIRE-4590: No firewall software installed,No firewall software installed,host-wazuh,lynis:FIRE-4590,jump-unmanaged,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_I,csf_PR_PS_01,nist80053_SC-7,nist80053_CM-7,nist80053_CM-6"
EGP-0C9060D676,,Lynis SSH-7408: SSH PermitRootLogin is enabled,SSH PermitRootLogin is enabled,host-wazuh,lynis:SSH-7408,jump-unmanaged,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_H,csf_PR_AA_05,nist80053_IA-2,nist80053_AC-6,nist80053_CM-6"
EGP-779757A7FF,,osquery disk_encryption: Disk encryption is disabled,Disk encryption is disabled,host-wazuh,wazuh:disk_encryption,jump-unmanaged,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_K,csf_PR_DS_01,nist80053_SC-28,nist80053_MP-5"
EGP-AEC2504FF3,,Wazuh agent disconnected: jump-unmanaged,Endpoint jump-unmanaged is never_connected; coverage gap.,host-wazuh,name:wazuh agent disconnected: jump-unmanaged,jump-unmanaged,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_4_B,csf_DE_CM_01,nist80053_SI-4,cis_13_2"
EGP-F90B2E75FF,,intune encryption compliance 33.3%,"Export shows 1/3 measured devices encrypted (33.3% compliance). This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,name:intune encryption compliance 33.3%,intune-estate,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_K,csf_PR_DS_01,nist80053_SC-28,nist80053_MP-5"
EGP-4EA4CF29D9,,Disk encryption disabled on fleet-laptop-07,"fleet-laptop-07 export lists disk encryption as not enabled. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,name:disk encryption disabled on fleet-laptop-07,fleet-laptop-07,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_K,csf_PR_DS_01,nist80053_SC-28,nist80053_MP-5"
EGP-C2E0F34A83,,Missing EDR on fleet-laptop-07,"fleet-laptop-07 export lists endpoint detection / antivirus as missing. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,name:missing edr on fleet-laptop-07,fleet-laptop-07,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_4_A,csf_DE_CM_09,nist80053_SI-4,cis_13_2"
EGP-AC15FC000A,,Disk encryption disabled on jump-unmanaged,"jump-unmanaged export lists disk encryption as not enabled. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,name:disk encryption disabled on jump-unmanaged,jump-unmanaged,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_K,csf_PR_DS_01,nist80053_SC-28,nist80053_MP-5"
EGP-50A585B64B,,MDM enrollment off on jump-unmanaged,"jump-unmanaged is not enrolled in MDM according to the dropped intune export. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,name:mdm enrollment off on jump-unmanaged,jump-unmanaged,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_N,csf_PR_PS_01,nist80053_CM-2,nist80053_CM-6"
EGP-5CE5318EF7,,Missing EDR on jump-unmanaged,"jump-unmanaged export lists endpoint detection / antivirus as missing. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,name:missing edr on jump-unmanaged,jump-unmanaged,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_4_A,csf_DE_CM_09,nist80053_SI-4,cis_13_2"
EGP-5E15BF6FA5,,jamf encryption compliance 50.0%,"Export shows 1/2 measured devices encrypted (50.0% compliance). This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,name:jamf encryption compliance 50.0%,jamf-estate,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_K,csf_PR_DS_01,nist80053_SC-28,nist80053_MP-5"
EGP-09DA2308AA,,MDM enrollment off on fleet-laptop-07,"fleet-laptop-07 is not enrolled in MDM according to the dropped jamf export. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,name:mdm enrollment off on fleet-laptop-07,fleet-laptop-07,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_N,csf_PR_PS_01,nist80053_CM-2,nist80053_CM-6"
EGP-BC70C5C536,,BloodHound GenericAll,Full control over the object. HELPDESK@CORP.LOCAL -> DOMAIN ADMINS@CORP.LOCAL,identity-ad,name:bloodhound genericall,DOMAIN ADMINS@CORP.LOCAL,,,,not recorded,,2026-09-26,No,,,High,,,,,,,Scanner rating Critical (col R maps Critical→High; template M has no Critical branch).,,,,"cpg_3_H,csf_PR_AA_05,nist80053_AC-6,nist80053_AC-2"
EGP-4142800CF1,,BloodHound DCSync,Principal can replicate directory secrets. SVC-SQL@CORP.LOCAL -> CORP.LOCAL,identity-ad,name:bloodhound dcsync,CORP.LOCAL,,,,not recorded,,2026-09-26,No,,,High,,,,,,,Scanner rating Critical (col R maps Critical→High; template M has no Critical branch).,,,,"cpg_3_H,csf_PR_AA_05,nist80053_AC-6,nist80053_AC-2,nist80053_AC-3"
EGP-AADD90C44B,,BloodHound AdminTo,Principal has local admin on the target. HELPDESK@CORP.LOCAL -> DC01.CORP.LOCAL,identity-ad,name:bloodhound adminto,DC01.CORP.LOCAL,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_H,csf_PR_AA_05,nist80053_AC-6,nist80053_AC-2"
EGP-89066A69AD,,Backup Operators privileged group,Members can dump SAM / seize privileged files.,identity-ad,name:backup operators privileged group,Backup Operators,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_H,csf_PR_AA_05,nist80053_AC-2,nist80053_AC-6"
EGP-64243EE03B,,Roastable SPN,SVC-SQL@CORP.LOCAL has an SPN and is kerberoastable.,identity-ad,name:roastable spn,SVC-SQL@CORP.LOCAL,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_B,csf_PR_AA_01,nist80053_IA-5,nist80053_AC-2"
EGP-88E13E046B,,High-value identity,DOMAIN ADMINS@CORP.LOCAL is marked high-value.,identity-ad,name:high-value identity,Domain Admins,,,,not recorded,,2026-09-26,No,,,Moderate,,,,,,,,,,,"cpg_3_H,csf_PR_AA_05,nist80053_AC-2,nist80053_AC-6"
EGP-03B5005C49,,Entra GA without PIM,ga@contoso.onmicrosoft.com is Global Administrator without PIM eligibility.,identity-ad,name:entra ga without pim,ga@contoso.onmicrosoft.com,,,,not recorded,,2026-09-26,No,,,High,,,,,,,Scanner rating Critical (col R maps Critical→High; template M has no Critical branch).,,,,"cpg_3_H,csf_PR_AA_05,nist80053_AC-2,nist80053_AC-6"
EGP-FB2B95B72E,,Unconstrained delegation,DC01.CORP.LOCAL has unconstrained Kerberos delegation.,identity-ad,name:unconstrained delegation,DC01.CORP.LOCAL,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_H,csf_PR_AA_05,nist80053_AC-6,nist80053_IA-2"
EGP-4479D79C61,,SMB null session allowed on DC01.CORP.LOCAL,DC01.CORP.LOCAL enum4linux-ng export shows an anonymous/null SMB session.,identity-ad,name:smb null session allowed on dc01.corp.local,DC01.CORP.LOCAL (445/TCP),,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_I,csf_PR_AA_05,nist80053_AC-14,nist80053_AC-3,nist80053_IA-2"
EGP-05F47500F1,,Domain Admins group listed,DC01.CORP.LOCAL export lists Domain Admins.,identity-ad,name:domain admins group listed,DC01.CORP.LOCAL,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_H,csf_PR_AA_05,nist80053_AC-2,nist80053_AC-6"
EGP-8AA3A720F9,,HardeningKitty Enforce password history,Enforce password history result=failed recommended=24 actual=[REDACTED],identity-ad,hardeningkitty:1.1,win-dc01,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_B,csf_PR_AA_01,nist80053_IA-5"
EGP-39348737E9,,HardeningKitty Disable LM hash storage,Disable LM hash storage result=failed recommended=Enabled actual=[REDACTED],identity-ad,hardeningkitty:18.9,win-dc01,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_B,csf_PR_AA_01,nist80053_IA-5,nist80053_SC-13"
EGP-1D97B7EAEA,,Roastable SPN,SVC-KRBTGT-ROAST has an SPN and is kerberoastable.,identity-ad,name:roastable spn,SVC-KRBTGT-ROAST,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_B,csf_PR_AA_01,nist80053_IA-5,nist80053_AC-2"
EGP-264DB58CCB,,AS-REP roastable account,SVC-KRBTGT-ROAST does not require Kerberos preauth.,identity-ad,name:as-rep roastable account,SVC-KRBTGT-ROAST,,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_B,csf_PR_AA_01,nist80053_IA-2,nist80053_AC-2"
EGP-CED04C589D,,RDP exposed,filesrv.corp.local has open TCP/3389 (tcp).,inventory-nmap,nmap:nmap-port-3389/tcp,filesrv.corp.local (3389/TCP),,,,not recorded,,2026-09-26,No,,,Moderate,,,,,,,,,,,"cpg_3_I,csf_PR_IR_01,nist80053_AC-17,nist80053_SC-7"
EGP-3636D43EE5,,Telnet exposed,filesrv.corp.local has open TCP/23 (tcp).,inventory-nmap,nmap:nmap-port-23/tcp,filesrv.corp.local (23/TCP),,,,not recorded,,2026-09-26,No,,,High,,,,,,,Scanner rating Critical (col R maps Critical→High; template M has no Critical branch).,,,,"cpg_3_I,csf_PR_IR_01,nist80053_CM-7,nist80053_SC-8,nist80053_AC-17"
EGP-8BF0FD466C,,FTP exposed,legacy-ftp.corp.local has open TCP/21 (ftp).,inventory-nmap,nmap:nmap-port-21/tcp,legacy-ftp.corp.local (21/TCP),,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_I,csf_PR_IR_01,nist80053_CM-7,nist80053_SC-8"
EGP-3CACDC27B2,,HTTP exposed,legacy-ftp.corp.local has open TCP/80 (http).,inventory-nmap,nmap:nmap-port-80/tcp,legacy-ftp.corp.local (80/TCP),,,,not recorded,,2026-09-26,No,,,Low,,,,,,,,,,,"cpg_3_I,csf_PR_IR_01,nist80053_CM-7,nist80053_SC-7"
EGP-89762A2D4D,,SMB 445 exposed,filesrv.corp.local has open TCP/445 (microsoft-ds).,inventory-nmap,nmap:nmap-port-445/tcp,filesrv.corp.local (445/TCP),,,,not recorded,,2026-09-26,No,,,High,,,,,,,,,,,"cpg_3_I,csf_PR_IR_01,nist80053_CM-7,nist80053_SC-7"
