asset_tag,name,hostname,ip_address,notes,is_active,alternative_name
EASM-asset-dev-api-example-com,dev-api.example.com,dev-api.example.com,,External host dev-api.example.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
EASM-asset-mail-example-com,mail.example.com,mail.example.com,,External host mail.example.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
EASM-asset-staging-example-com,staging.example.com,staging.example.com,,External host staging.example.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
EASM-asset-www-example-com,www.example.com,www.example.com,,External host www.example.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
HPOT-asset-ssh-canary-01,ssh-canary-01,,,Deception-sensor trap ssh-canary-01 (not a compromised host). This is deception-sensor evidence / an agent-behavior signal. A honeypot stage hit is not a full control failure and does not mean the network is compromised. — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
WAZ-asset-wazuh-manager,wazuh-manager,,10.0.0.2,Wazuh agent wazuh-manager status=active ip=10.0.0.2 — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
WAZ-asset-web-01,web-01.corp.local,web-01.corp.local,10.0.0.30,Wazuh agent web-01 status=active ip=10.0.0.30 — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
WAZ-asset-db-01,db-01,,10.0.0.40,Wazuh agent db-01 status=disconnected ip=10.0.0.40 — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
WAZ-asset-jump-unmanaged,jump-unmanaged,,,Host jump-unmanaged — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
WAZ-asset-fleet-laptop-07,fleet-laptop-07,,10.0.4.17,Wazuh agent fleet-laptop-07 status=disconnected ip=10.0.4.17 — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
WAZ-asset-fleet-build-01,fleet-build-01,,10.0.4.8,Wazuh agent fleet-build-01 status=online ip=10.0.4.8 — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
WAZ-asset-laptop-04,laptop-04,,,Wazuh agent laptop-04 status=active ip= — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
WAZ-asset-intune-estate,intune-estate,,,intune endpoint intune-estate — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
WAZ-asset-win-ok-01,win-ok-01,,,intune endpoint win-ok-01 — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
WAZ-asset-jamf-estate,jamf-estate,,,jamf endpoint jamf-estate — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
WAZ-asset-mac-ok-01,mac-ok-01,,,jamf endpoint mac-ok-01 — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
ID-asset-helpdeskcorp-local,HELPDESK@CORP.LOCAL,HELPDESK@CORP.LOCAL,,User HELPDESK@CORP.LOCAL — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
ID-asset-corp-local,CORP.LOCAL,CORP.LOCAL,,Domain CORP.LOCAL — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
ID-asset-backup-operatorscorp-local,BACKUP OPERATORS@CORP.LOCAL,,,Backup Operators can read SAM and seize files — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
ID-asset-svc-sqlcorp-local,SVC-SQL@CORP.LOCAL,SVC-SQL@CORP.LOCAL,,Roastable SQL service account — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
ID-asset-domain-adminscorp-local,DOMAIN ADMINS@CORP.LOCAL,CORP.LOCAL,,Group DOMAIN ADMINS@CORP.LOCAL — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
ID-asset-gacontoso-onmicrosoft-com,ga@contoso.onmicrosoft.com,ga@contoso.onmicrosoft.com,,Entra GA without PIM — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
ID-asset-dc01-corp-local,DC01.CORP.LOCAL,DC01.CORP.LOCAL,,Computer DC01.CORP.LOCAL — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
ID-asset-win-dc01,win-dc01,,,Windows host win-dc01 — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
ID-asset-backup-operators,Backup Operators,,,PingCastle privileged group — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
ID-asset-domain-admins,Domain Admins,,,Built-in Domain Admins — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
ID-asset-svc-krbtgt-roast,SVC-KRBTGT-ROAST,,,AS-REP + kerberoastable — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
NMAP-asset-10-0-0-50,filesrv.corp.local,filesrv.corp.local,10.0.0.50,Host 10.0.0.50 (10.0.0.50) — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
NMAP-asset-legacy-ftp-corp-local,legacy-ftp.corp.local,legacy-ftp.corp.local,10.0.0.60,Host legacy-ftp.corp.local (10.0.0.60) — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
NMAP-asset-dc-corp-local,dc.corp.local,dc.corp.local,10.0.0.10,Host dc.corp.local (10.0.0.10) — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
NMAP-asset-telnet-legacy-corp-local,telnet-legacy.corp.local,telnet-legacy.corp.local,10.0.0.20,Host telnet-legacy.corp.local (10.0.0.20) — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
K8S-asset-prod-cluster,prod-cluster,,,Kubernetes cluster prod-cluster — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
K8S-asset-cluster,cluster,,,Kubernetes cluster cluster — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
K8S-asset-payments-worker,payments-worker,,,Pod payments-worker — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
K8S-asset-kube-apiserver,kube-apiserver,,,Pod kube-apiserver — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
SAAS-asset-contoso-onmicrosoft-com,contoso.onmicrosoft.com,contoso.onmicrosoft.com,,entra tenant contoso.onmicrosoft.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
SAAS-asset-alicecontoso-onmicrosoft-com,alice@contoso.onmicrosoft.com,alice@contoso.onmicrosoft.com,,entra identity alice@contoso.onmicrosoft.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
SAAS-asset-bobcontoso-onmicrosoft-com,bob@contoso.onmicrosoft.com,bob@contoso.onmicrosoft.com,,entra identity bob@contoso.onmicrosoft.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
SAAS-asset-vendor-extextcontoso-onmicrosoft-com,vendor_ext#EXT#@contoso.onmicrosoft.com,vendor_ext#EXT#@contoso.onmicrosoft.com,,entra identity vendor_ext#EXT#@contoso.onmicrosoft.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
SAAS-asset-example-com,example.com,example.com,,google tenant example.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
SAAS-asset-adminexample-com,admin@example.com,admin@example.com,,google identity admin@example.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
SAAS-asset-userexample-com,user@example.com,user@example.com,,google identity user@example.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
SAAS-asset-guest-extexample-com,guest.ext@example.com,guest.ext@example.com,,google identity guest.ext@example.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
SAAS-asset-example-okta-com,example.okta.com,example.okta.com,,okta tenant example.okta.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
SAAS-asset-it-adminexample-com,it-admin@example.com,it-admin@example.com,,okta identity it-admin@example.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
SAAS-asset-janeexample-com,jane@example.com,jane@example.com,,okta identity jane@example.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
SAAS-asset-contractorexample-com,contractor@example.com,contractor@example.com,,okta identity contractor@example.com — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
VULN-asset-app-01-demo-internal,app-01.demo.internal,app-01.demo.internal,,Scanned target app-01.demo.internal — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
VULN-asset-https-redis-a-lab-internal,https://redis-a.lab.internal,https://redis-a.lab.internal,,Scanned target https://redis-a.lab.internal — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
VULN-asset-https-redis-b-lab-internal,https://redis-b.lab.internal,https://redis-b.lab.internal,,Scanned target https://redis-b.lab.internal — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
VULN-asset-https-redis-c-lab-internal,https://redis-c.lab.internal,https://redis-c.lab.internal,,Scanned target https://redis-c.lab.internal — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
VULN-asset-https-app-corp-local,https://app.corp.local,https://app.corp.local,,Scanned target https://app.corp.local — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
VULN-asset-app-server-latest,app-server:latest,,,Scanned target app-server:latest — SAMPLE DATA: NOT A CLIENT: Every finding below comes from bundled example files. None describes any real organization.,true,
