title,details,notes
Reduce unnecessary network exposure (Open port 389/ldap),Limit the exposed service on dc.corp.local to required networks. Confirm the listener is still needed.,CTL-nmap-dc-corp-local-389 category=technical csf=identify — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Harden or restrict SMB file sharing,"Restrict TCP/445 (SMB) to required admin or file-share hosts. Confirm SMBv1 is disabled on the endpoint. This finding is an open-port exposure, not a dialect or CVE.",CTL-nmap-dc-corp-local-445 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Restrict Windows admin shares,"Disable or ACL C$/ADMIN$/IPC$ so they are not reachable off the admin network. Confirm SMBv1 is disabled. This is a share-exposure finding, not a CVE.",CTL-nmap-dc-corp-local-admin-share category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Restrict RDP to approved paths,"Restrict TCP/3389 (RDP) to VPN/jump hosts. Require NLA. This is an exposure finding, not a specific RDP CVE.",CTL-nmap-dc-corp-local-3389 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Disable Telnet; require encrypted remote admin,Disable Telnet (TCP/23). Use SSH or an approved jump host. Do not leave cleartext remote admin on the network.,CTL-nmap-telnet-legacy-corp-local-23 category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Disable Telnet; require encrypted remote admin,Disable Telnet (TCP/23). Use SSH or an approved jump host. Do not leave cleartext remote admin on the network.,CTL-nmap-telnet-legacy-corp-local-80 category=technical csf=identify — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Reduce unnecessary network exposure (HTTP exposed),Limit the exposed service on web-01.corp.local to required networks. Confirm the listener is still needed.,CTL-nmap-web-01-corp-local-80 category=technical csf=identify — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Reduce unnecessary network exposure (SSH exposed),Limit the exposed service on 10.0.0.40 to required networks. Confirm the listener is still needed.,CTL-nmap-10-0-0-40-22 category=technical csf=identify — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Write below binary dir,File below a known binary directory opened for writing (user=root pod=payments-worker),CTL-k8s-write-below-binary-dir category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Launch Privileged Container,Privileged container started,CTL-k8s-launch-privileged-container category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Anonymous authentication is not enabled,Anonymous authentication is not enabled,CTL-k8s-1-2-1 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Minimize the admission of privileged containers,Minimize the admission of privileged containers,CTL-k8s-5-2-1 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Privileged container,Pod payments-worker runs privileged=true,CTL-k8s-c-0057 category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Anonymous Kubernetes API access,anonymous-auth=true on kube-apiserver,CTL-k8s-c-0013 category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Allow privilege escalation,allowPrivilegeEscalation not set false,CTL-k8s-c-0034 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: HostNetwork access,DaemonSet uses hostNetwork,CTL-k8s-c-0041 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Entra Global Administrator via Graph,ga@contoso.onmicrosoft.com holds Global Administrator (Microsoft Graph export),CTL-saas-graph-ga-gacontoso-onmicrosoft-com category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Maester MT.1035,Privileged users should have phishing-resistant MFA,CTL-saas-mt-1035 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Okta admin MFA gap,Okta admin MFA enrollment disabled,CTL-saas-admins-mfa category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Legacy authentication protocols disabled,M365 legacy auth (IMAP/SMTP basic) still enabled,CTL-saas-legacy-authentication-protocols-disabled category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Privileged roles use PIM,Global Administrator assigned permanently,CTL-saas-privileged-roles-use-pim category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: External sharing restricted,Anyone links enabled on default site,CTL-saas-external-sharing-restricted category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Rotate and revoke exposed credentials,"Rotate the secret, revoke the old value, and remove it from the repo. The pack redacts secret material.",CTL-code-generic-api-key-services-payments-config-py category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Rotate and revoke exposed credentials,"Rotate the secret, revoke the old value, and remove it from the repo. The pack redacts secret material.",CTL-code-generic-secret-deploy-env-sample category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Hardcoded credential assigned to variable,Hardcoded credential assigned to variable,CTL-code-python-lang-security-audit-hardcoded-passwo category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Possible SQL injection via string format,Possible SQL injection via string format,CTL-code-python-lang-security-audit-sql-injection category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: postcss line return parsing,Affected lockfile dependency.,CTL-code-cve-2023-44270 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: semver regular expression DoS,ReDoS in npm semver.,CTL-code-cve-2022-25883 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Rotate and revoke exposed credentials,"Rotate the secret, revoke the old value, and remove it from the repo. The pack redacts secret material.",CTL-code-trufflehog-aws-infra-terraform-tfvars category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Rotate and revoke exposed credentials,"Rotate the secret, revoke the old value, and remove it from the repo. The pack redacts secret material.",CTL-code-trufflehog-github-scripts-deploy-sh category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Harden TLS on the exposed service,"Require TLS 1.2 or newer, disable weak ciphers, and use a valid certificate. This is a posture finding, not a specific TLS CVE.",CTL-vuln-1-3-6-1-4-1-25623-1-0-103234 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Apache Log4j RCE,Log4Shell JNDI lookup,CTL-vuln-cve-2021-44228 category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: HTTP/2 Rapid Reset,HTTP/2 rapid reset DoS,CTL-vuln-cve-2023-44487 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: Exposed admin panel,Unauthenticated admin UI,CTL-vuln-exposed-panel category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Harden TLS on the exposed service,"Require TLS 1.2 or newer, disable weak ciphers, and use a valid certificate. This is a posture finding, not a specific TLS CVE.",CTL-vuln-cve-2014-0160 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: xz-utils supply chain backdoor,Malicious code in xz-utils liblzma.,CTL-vuln-cve-2024-3094 category=technical csf=respond — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
Remediate: curl SOCKS heap overflow,Heap buffer overflow in curl SOCKS handshake.,CTL-vuln-cve-2023-38545 category=technical csf=protect — SAMPLE/DEMO — not a client estate. File-drop parse only. posted=false. Not a paying-day stamp.
