ref_id,name,description,severity,status,filtering_labels
CLD-s3-bucket-allusers-read-demo-scout-public,ScoutSuite s3: Bucket readable by AllUsers,s3 Bucket readable by AllUsers,critical,identified,"cloud,prowler,s3,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
CLD-aws-iam-user-mfa-iam-user-nomega,IAM users should have MFA,User nomega has no MFA device,high,identified,"cloud,prowler,iam,demo,estate_demo,csf_PR,csf_protect,nist_csf"
CODE-ckv-aws-20-infra-terraform-tfvars-aws-s3-bucket-,S3 Bucket has an ACL defined which allows public READ access.,CKV_AWS_20 S3 Bucket has an ACL defined which allows public READ access. resource=aws_s3_bucket.demo file=infra/terraform.tfvars (Checkov file-drop; not a live IaC scan),high,identified,"code,secrets,checkov,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
DNS-vpn-example-invalid-cert-expired,Expired certificate on vpn.example.invalid,"vpn.example.invalid presents an expired certificate in a dropped PEM/crt.sh snapshot (Seen, not a live TLS probe). This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",medium,identified,"dns-email,email-dns,seen,cert_expired,demo,estate_demo,csf_PR,csf_protect,nist_csf"
DNS-mail-example-invalid-cert-expired,Expired certificate on mail.example.invalid,"mail.example.invalid presents an expired certificate in a dropped PEM/crt.sh snapshot (Seen, not a live TLS probe). This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",medium,identified,"dns-email,email-dns,seen,cert_expired,demo,estate_demo,csf_PR,csf_protect,nist_csf"
DNS-mail-example-invalid-spf-softfail-only,SPF softfail-only on mail.example.invalid,"mail.example.invalid publishes SPF ~all only. Control gap candidate, not a breach. This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",low,identified,"dns-email,email-dns,seen,spf_softfail_only,demo,estate_demo,csf_PR,csf_protect,nist_csf"
DNS-mail-example-invalid-dmarc-missing,DMARC missing on mail.example.invalid,"mail.example.invalid has no published _dmarc TXT policy. Control gap candidate. This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",medium,identified,"dns-email,email-dns,seen,dmarc_missing,demo,estate_demo,csf_PR,csf_protect,nist_csf"
DNS-mail-example-invalid-dkim-missing-selector1,DKIM selector selector1 missing on mail.example.invalid,"mail.example.invalid has no published DKIM TXT at selector1._domainkey. Control gap candidate. This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",medium,identified,"dns-email,email-dns,seen,dkim_missing-selector1,demo,estate_demo,csf_PR,csf_protect,nist_csf"
DNS-corp-example-invalid-spf-pass-all,SPF +all on corp.example.invalid,"corp.example.invalid publishes SPF +all (any sender passes). Control gap candidate. This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",high,identified,"dns-email,email-dns,seen,spf_pass_all,demo,estate_demo,csf_PR,csf_protect,nist_csf"
DNS-corp-example-invalid-dmarc-monitor-only,DMARC p=none on corp.example.invalid,"corp.example.invalid publishes DMARC p=none (monitor only). Control gap candidate. This is a Seen DNS/TXT observation (email_dns lane), not mailbox compromise and not a breach.",low,identified,"dns-email,email-dns,seen,dmarc_monitor_only,demo,estate_demo,csf_PR,csf_protect,nist_csf"
EASM-vpn-example-com,Sensitive external hostname vpn.example.com,vpn.example.com is exposed on the public perimeter.,high,identified,"easm,external,demo,estate_demo,cpg_1_E,csf_ID,csf_identify,cisa_cpg,nist_csf"
EASM-admin-example-com-path-admin,Exposed admin interface path on admin.example.com,"admin.example.com exposes /admin (status=200). This is a dropped ffuf/gobuster finding, not a live HTTP probe.",high,identified,"easm,external,ffuf,admin-ui,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
EASM-admin-example-com,Sensitive external hostname admin.example.com,admin.example.com is exposed on the public perimeter.,high,identified,"easm,external,demo,estate_demo,cpg_1_E,csf_ID,csf_identify,cisa_cpg,nist_csf"
EASM-admin-example-com-admin-ui,Exposed admin interface on admin.example.com,admin.example.com presents an admin/login interface (title=Admin login).,high,identified,"easm,external,admin-ui,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
EASM-dev-api-example-com,Sensitive external hostname dev-api.example.com,dev-api.example.com is exposed on the public perimeter.,high,identified,"easm,external,demo,estate_demo,cpg_1_E,csf_ID,csf_identify,cisa_cpg,nist_csf"
EASM-staging-example-com,Sensitive external hostname staging.example.com,staging.example.com is exposed on the public perimeter.,medium,identified,"easm,external,demo,estate_demo,cpg_1_E,csf_ID,csf_identify,cisa_cpg,nist_csf"
EASM-vpn-example-com-tls-weak,TLS weak cipher: vpn.example.com,vpn.example.com presents a weak TLS cipher posture (not a specific CVE).,medium,identified,"easm,external,tls,https,demo,estate_demo,csf_PR,csf_protect,nist_csf"
EASM-admin-example-com-whatweb-admin,WhatWeb admin interface on admin.example.com,"admin.example.com presents an admin/login interface (title=Admin Login). This is a dropped WhatWeb export, not a live HTTP probe.",high,identified,"easm,external,whatweb,admin-ui,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
WAZ-coverage-db-01,Wazuh agent disconnected: db-01,Endpoint db-01 is disconnected; coverage gap.,high,identified,"wazuh,host,coverage,demo,estate_demo,csf_DE,csf_detect,nist_csf"
WAZ-alert-17001,sshd: brute force trying to get access,sshd: brute force trying to get access,high,identified,"wazuh,host,alert,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,csf_DE,csf_detect,cisa_cpg,nist_csf"
WAZ-cis-5-2-10-jump-unmanaged,CIS-CAT 5.2.10: Ensure SSH PermitRootLogin is no,Ensure SSH PermitRootLogin is no,high,identified,"wazuh,host,cis-cat,demo,estate_demo,csf_PR,csf_protect,nist_csf"
WAZ-coverage-fleet-laptop-07,Wazuh agent disconnected: fleet-laptop-07,Endpoint fleet-laptop-07 is disconnected; coverage gap.,high,identified,"wazuh,host,coverage,demo,estate_demo,csf_DE,csf_detect,nist_csf"
WAZ-lynis-fire-4590-jump-unmanaged,Lynis FIRE-4590: No firewall software installed,No firewall software installed,high,identified,"wazuh,host,lynis,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
WAZ-lynis-ssh-7408-jump-unmanaged,Lynis SSH-7408: SSH PermitRootLogin is enabled,SSH PermitRootLogin is enabled,high,identified,"wazuh,host,lynis,demo,estate_demo,csf_PR,csf_protect,nist_csf"
WAZ-osquery-disk-encryption-jump-unmanaged,osquery disk_encryption: Disk encryption is disabled,Disk encryption is disabled,high,identified,"wazuh,host,osquery,demo,estate_demo,csf_PR,csf_protect,nist_csf"
WAZ-coverage-jump-unmanaged,Wazuh agent disconnected: jump-unmanaged,Endpoint jump-unmanaged is never_connected; coverage gap.,high,identified,"wazuh,host,coverage,demo,estate_demo,csf_DE,csf_detect,nist_csf"
WAZ-enc-compliance-intune,intune encryption compliance 33.3%,"Export shows 1/3 measured devices encrypted (33.3% compliance). This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",high,identified,"wazuh,host,intune,mdm,inventory,disk-encryption,demo,estate_demo,csf_PR,csf_protect,nist_csf"
WAZ-diskenc-intune-fleet-laptop-07,Disk encryption disabled on fleet-laptop-07,"fleet-laptop-07 export lists disk encryption as not enabled. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",high,identified,"wazuh,host,intune,mdm,inventory,disk-encryption,demo,estate_demo,csf_PR,csf_protect,nist_csf"
WAZ-edr-intune-fleet-laptop-07,Missing EDR on fleet-laptop-07,"fleet-laptop-07 export lists endpoint detection / antivirus as missing. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",high,identified,"wazuh,host,intune,mdm,inventory,edr,demo,estate_demo,csf_DE,csf_detect,nist_csf"
WAZ-diskenc-intune-jump-unmanaged,Disk encryption disabled on jump-unmanaged,"jump-unmanaged export lists disk encryption as not enabled. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",high,identified,"wazuh,host,intune,mdm,inventory,disk-encryption,demo,estate_demo,csf_PR,csf_protect,nist_csf"
WAZ-mdm-intune-jump-unmanaged,MDM enrollment off on jump-unmanaged,"jump-unmanaged is not enrolled in MDM according to the dropped intune export. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",high,identified,"wazuh,host,intune,mdm,inventory,demo,estate_demo,csf_PR,csf_protect,nist_csf"
WAZ-edr-intune-jump-unmanaged,Missing EDR on jump-unmanaged,"jump-unmanaged export lists endpoint detection / antivirus as missing. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",high,identified,"wazuh,host,intune,mdm,inventory,edr,demo,estate_demo,csf_DE,csf_detect,nist_csf"
WAZ-enc-compliance-jamf,jamf encryption compliance 50.0%,"Export shows 1/2 measured devices encrypted (50.0% compliance). This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",high,identified,"wazuh,host,jamf,mdm,inventory,disk-encryption,demo,estate_demo,csf_PR,csf_protect,nist_csf"
WAZ-diskenc-jamf-fleet-laptop-07,Disk encryption disabled on fleet-laptop-07,"fleet-laptop-07 export lists disk encryption as not enabled. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",high,identified,"wazuh,host,jamf,mdm,inventory,disk-encryption,demo,estate_demo,csf_PR,csf_protect,nist_csf"
WAZ-mdm-jamf-fleet-laptop-07,MDM enrollment off on fleet-laptop-07,"fleet-laptop-07 is not enrolled in MDM according to the dropped jamf export. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",high,identified,"wazuh,host,jamf,mdm,inventory,demo,estate_demo,csf_PR,csf_protect,nist_csf"
WAZ-edr-jamf-fleet-laptop-07,Missing EDR on fleet-laptop-07,"fleet-laptop-07 export lists endpoint detection / antivirus as missing. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",high,identified,"wazuh,host,jamf,mdm,inventory,edr,demo,estate_demo,csf_DE,csf_detect,nist_csf"
ID-genericall-helpdeskcorp-local-domain-adminscorp-,BloodHound GenericAll,Full control over the object. HELPDESK@CORP.LOCAL -> DOMAIN ADMINS@CORP.LOCAL,critical,identified,"identity,ad,bloodhound,edge,demo,estate_demo,csf_PR,csf_protect,nist_csf"
ID-dcsync-svc-sqlcorp-local-corp-local,BloodHound DCSync,Principal can replicate directory secrets. SVC-SQL@CORP.LOCAL -> CORP.LOCAL,critical,identified,"identity,ad,bloodhound,edge,demo,estate_demo,csf_PR,csf_protect,nist_csf"
ID-adminto-helpdeskcorp-local-dc01-corp-local,BloodHound AdminTo,Principal has local admin on the target. HELPDESK@CORP.LOCAL -> DC01.CORP.LOCAL,high,identified,"identity,ad,bloodhound,edge,demo,estate_demo,csf_PR,csf_protect,nist_csf"
ID-backup-operators-privileged-group-backup-operato,Backup Operators privileged group,Members can dump SAM / seize privileged files.,high,identified,"identity,ad,demo,estate_demo,csf_PR,csf_protect,nist_csf"
ID-roastable-spn-svc-sqlcorp-local,Roastable SPN,SVC-SQL@CORP.LOCAL has an SPN and is kerberoastable.,high,identified,"identity,ad,demo,estate_demo,csf_PR,csf_protect,nist_csf"
ID-high-value-identity-domain-adminscorp-local,High-value identity,DOMAIN ADMINS@CORP.LOCAL is marked high-value.,medium,identified,"identity,ad,demo,estate_demo,csf_PR,csf_protect,nist_csf"
ID-entra-ga-without-pim-gacontoso-onmicrosoft-com,Entra GA without PIM,ga@contoso.onmicrosoft.com is Global Administrator without PIM eligibility.,critical,identified,"identity,ad,demo,estate_demo,csf_PR,csf_protect,nist_csf"
ID-unconstrained-delegation-dc01-corp-local,Unconstrained delegation,DC01.CORP.LOCAL has unconstrained Kerberos delegation.,high,identified,"identity,ad,demo,estate_demo,csf_PR,csf_protect,nist_csf"
ID-null-session-dc01-corp-local,SMB null session allowed on DC01.CORP.LOCAL,DC01.CORP.LOCAL enum4linux-ng export shows an anonymous/null SMB session.,high,identified,"identity,ad,enum4linux,smb,demo,estate_demo,csf_PR,csf_protect,nist_csf"
ID-domain-admins-group-listed-dc01-corp-local,Domain Admins group listed,DC01.CORP.LOCAL export lists Domain Admins.,high,identified,"identity,ad,enum4linux,demo,estate_demo,csf_PR,csf_protect,nist_csf"
ID-hk-1-1-win-dc01,HardeningKitty Enforce password history,Enforce password history result=failed recommended=24 actual=[REDACTED],high,identified,"identity,ad,hardeningkitty,demo,estate_demo,csf_PR,csf_protect,nist_csf"
ID-hk-18-9-win-dc01,HardeningKitty Disable LM hash storage,Disable LM hash storage result=failed recommended=Enabled actual=[REDACTED],high,identified,"identity,ad,hardeningkitty,demo,estate_demo,csf_PR,csf_protect,nist_csf"
ID-roastable-spn-svc-krbtgt-roast,Roastable SPN,SVC-KRBTGT-ROAST has an SPN and is kerberoastable.,high,identified,"identity,ad,demo,estate_demo,csf_PR,csf_protect,nist_csf"
ID-as-rep-roastable-account-svc-krbtgt-roast,AS-REP roastable account,SVC-KRBTGT-ROAST does not require Kerberos preauth.,high,identified,"identity,ad,demo,estate_demo,csf_PR,csf_protect,nist_csf"
NMAP-filesrv-corp-local-3389,RDP exposed,filesrv.corp.local has open TCP/3389 (tcp).,medium,identified,"nmap,inventory,port-3389,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-filesrv-corp-local-23,Telnet exposed,filesrv.corp.local has open TCP/23 (tcp).,critical,identified,"nmap,inventory,port-23,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-legacy-ftp-corp-local-21,FTP exposed,legacy-ftp.corp.local has open TCP/21 (ftp).,high,identified,"nmap,inventory,port-21,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-legacy-ftp-corp-local-80,HTTP exposed,legacy-ftp.corp.local has open TCP/80 (http).,low,identified,"nmap,inventory,port-80,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-filesrv-corp-local-445,SMB 445 exposed,filesrv.corp.local has open TCP/445 (microsoft-ds).,high,identified,"nmap,inventory,port-445,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-filesrv-corp-local-admin-share,Administrative share exposed on filesrv.corp.local (C$/ADMIN$),filesrv.corp.local has SMB open; C$/ADMIN$ administrative shares should be restricted.,medium,identified,"nmap,inventory,admin-share,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-filesrv-corp-local-139,Open port 139/netbios-ssn,filesrv.corp.local has open TCP/139 (netbios-ssn).,low,identified,"nmap,inventory,port-139,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-dc-corp-local-88,Open port 88/kerberos-sec,dc.corp.local has open TCP/88 (kerberos-sec).,low,identified,"nmap,inventory,port-88,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-dc-corp-local-135,Open port 135/msrpc,dc.corp.local has open TCP/135 (msrpc).,low,identified,"nmap,inventory,port-135,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-dc-corp-local-389,Open port 389/ldap,dc.corp.local has open TCP/389 (ldap).,low,identified,"nmap,inventory,port-389,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-dc-corp-local-445,SMB 445 exposed,dc.corp.local has open TCP/445 (microsoft-ds).,high,identified,"nmap,inventory,port-445,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-dc-corp-local-admin-share,Administrative share exposed on dc.corp.local (C$/ADMIN$),dc.corp.local has SMB open; C$/ADMIN$ administrative shares should be restricted.,medium,identified,"nmap,inventory,admin-share,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-dc-corp-local-3389,RDP exposed,dc.corp.local has open TCP/3389 (ms-wbt-server).,medium,identified,"nmap,inventory,port-3389,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-telnet-legacy-corp-local-23,Telnet exposed,telnet-legacy.corp.local has open TCP/23 (telnet).,critical,identified,"nmap,inventory,port-23,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-telnet-legacy-corp-local-80,HTTP exposed,telnet-legacy.corp.local has open TCP/80 (http).,low,identified,"nmap,inventory,port-80,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-web-01-corp-local-80,HTTP exposed,web-01.corp.local has open TCP/80 (http).,low,identified,"nmap,inventory,port-80,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-10-0-0-40-22,SSH exposed,10.0.0.40 has open TCP/22 (ssh).,low,identified,"nmap,inventory,port-22,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-filesrv-corp-local-share-c,Writable SMB share C$ on filesrv.corp.local,"filesrv.corp.local smbmap export shows C$ as READ, WRITE.",high,identified,"nmap,inventory,smbmap,smb,admin-share,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
NMAP-filesrv-corp-local-21,FTP exposed,filesrv.corp.local has open TCP/21 (tcp).,high,identified,"nmap,inventory,port-21,unicornscan,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
K8S-write-below-binary-dir-prod-cluster,Write below binary dir,File below a known binary directory opened for writing (user=root pod=payments-worker),medium,identified,"k8s,kubescape,falco,demo,estate_demo,csf_PR,csf_protect,nist_csf"
K8S-launch-privileged-container-prod-cluster,Launch Privileged Container,Privileged container started,critical,identified,"k8s,kubescape,falco,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
K8S-1-2-1-cluster,Anonymous authentication is not enabled,Anonymous authentication is not enabled,high,identified,"k8s,kubescape,kube-bench,demo,estate_demo,csf_PR,csf_protect,nist_csf"
K8S-5-2-1-cluster,Minimize the admission of privileged containers,Minimize the admission of privileged containers,high,identified,"k8s,kubescape,kube-bench,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
K8S-c-0013-prod-cluster,Anonymous Kubernetes API access,anonymous-auth=true on kube-apiserver,critical,identified,"k8s,kubescape,demo,estate_demo,csf_PR,csf_protect,nist_csf"
K8S-c-0034-prod-cluster,Allow privilege escalation,allowPrivilegeEscalation not set false,high,identified,"k8s,kubescape,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
K8S-c-0041-prod-cluster,HostNetwork access,DaemonSet uses hostNetwork,high,identified,"k8s,kubescape,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
SAAS-mfa-gap-bobcontoso-onmicrosoft-com,MFA not registered,"Export lists bob@contoso.onmicrosoft.com without MFA registered. This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",high,identified,"saas,idp,entra,inventory,mfa,demo,estate_demo,csf_PR,csf_protect,nist_csf"
SAAS-standing-admin-gacontoso-onmicrosoft-com,Standing Global Administrator,"Export lists a standing Global Administrator assignment for ga@contoso.onmicrosoft.com (not PIM-eligible in this drop). This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",critical,identified,"saas,idp,entra,inventory,privileged,demo,estate_demo,csf_PR,csf_protect,nist_csf"
SAAS-stale-guest-vendor-extextcontoso-onmicrosoft-com,Stale guest account,"Export lists guest vendor_ext#EXT#@contoso.onmicrosoft.com with a stale last-sign-in (2024-01-15T00:00:00+00:00). Review guest access hygiene. This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",high,identified,"saas,idp,entra,inventory,guest,demo,estate_demo,csf_PR,csf_protect,nist_csf"
SAAS-mfa-gap-adminexample-com,Privileged MFA gap,"Export lists admin@example.com without MFA registered while holding Global Administrator. This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",critical,identified,"saas,idp,google,inventory,mfa,demo,estate_demo,csf_PR,csf_protect,nist_csf"
SAAS-standing-admin-adminexample-com,Standing Global Administrator,"Export lists a standing Global Administrator assignment for admin@example.com (not PIM-eligible in this drop). This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",critical,identified,"saas,idp,google,inventory,privileged,demo,estate_demo,csf_PR,csf_protect,nist_csf"
SAAS-stale-guest-guest-extexample-com,Stale guest account,"Export lists guest guest.ext@example.com with a stale last-sign-in (2024-02-01T00:00:00+00:00). Review guest access hygiene. This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",high,identified,"saas,idp,google,inventory,guest,demo,estate_demo,csf_PR,csf_protect,nist_csf"
SAAS-graph-ga-gacontoso-onmicrosoft-com,Entra Global Administrator via Graph,ga@contoso.onmicrosoft.com holds Global Administrator (Microsoft Graph export),critical,identified,"saas,idp,graph,demo,estate_demo,csf_PR,csf_protect,nist_csf"
SAAS-mt-1035-contoso-onmicrosoft-com,Maester MT.1035,Privileged users should have phishing-resistant MFA,high,identified,"saas,idp,maester,demo,estate_demo,csf_PR,csf_protect,nist_csf"
SAAS-mfa-gap-it-adminexample-com,Privileged MFA gap,"Export lists it-admin@example.com without MFA registered while holding SUPER_ADMIN. This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",critical,identified,"saas,idp,okta,inventory,mfa,demo,estate_demo,csf_PR,csf_protect,nist_csf"
SAAS-standing-admin-it-adminexample-com,Standing privileged role,"Export lists a standing SUPER_ADMIN assignment for it-admin@example.com (not PIM-eligible in this drop). This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",high,identified,"saas,idp,okta,inventory,privileged,demo,estate_demo,csf_PR,csf_protect,nist_csf"
SAAS-stale-guest-contractorexample-com,Stale guest account,"Export lists guest contractor@example.com with a stale last-sign-in (2024-02-01T00:00:00+00:00). Review guest access hygiene. This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",high,identified,"saas,idp,okta,inventory,guest,demo,estate_demo,csf_PR,csf_protect,nist_csf"
SAAS-admins-mfa,Okta admin MFA gap,Okta admin MFA enrollment disabled,critical,identified,"saas,idp,okta,mfa,demo,estate_demo,csf_PR,csf_protect,nist_csf"
SAAS-privileged-users-require-mfa-contoso-onmicrosoft,Privileged users require MFA,Admin MFA not enforced for Global Administrator,high,identified,"saas,idp,aad,scuba,demo,estate_demo,csf_PR,csf_protect,nist_csf"
SAAS-legacy-authentication-protocols-disabled-contoso,Legacy authentication protocols disabled,M365 legacy auth (IMAP/SMTP basic) still enabled,high,identified,"saas,idp,aad,scuba,demo,estate_demo,csf_PR,csf_protect,nist_csf"
SAAS-privileged-roles-use-pim-contoso-onmicrosoft-com,Privileged roles use PIM,Global Administrator assigned permanently,critical,identified,"saas,idp,aad,scuba,demo,estate_demo,csf_PR,csf_protect,nist_csf"
SAAS-external-sharing-restricted-contoso-onmicrosoft-,External sharing restricted,Anyone links enabled on default site,medium,identified,"saas,idp,sharepoint,scuba,demo,estate_demo,csf_PR,csf_protect,nist_csf"
VULN-nikto-admin-http-10-0-0-20-admin,Nikto: Admin login page found.,Admin login page found. url=/admin (Nikto file-drop; not a live HTTP probe),high,identified,"vuln,scanner,nikto,demo,estate_demo,cpg_2_W,csf_PR,csf_protect,cisa_cpg,nist_csf"
